RAW COUNTS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,Total
Sample_A0_highconc_rep1,0,370,1415,1110,33,2302,50,430,50,359,118,63,205,1,570,471,0,13,300,0,1487,110,1,172,343,853,795,225,180,930,320,1830,0,1300,539,1127,664,792,0,2472,321,2134,832,0,30,233,1541,0,273,0,2283,4730,1474,0,84,1578,2202,674,214,753,222,2023,696,5,0,0,97,391,1283,137,35,1070,683,17,145,191,1161,0,81,578,257,0,235,1023,0,17,118,3164,177,817,5,1396,1496,489,163,698,74,0,60300
Sample_A0_highconc_rep2,0,1024,3258,1255,115,3627,101,1514,0,302,557,593,561,492,1609,3,0,34,363,273,2000,1460,26,196,1165,167,1966,493,1047,1814,937,2955,0,994,408,755,715,660,144,291,387,907,1608,1,209,736,1985,3219,2275,0,1639,6159,1840,88,0,478,4649,438,1322,460,455,3476,1016,13,0,0,275,2007,1734,668,54,1454,1371,6,346,1,4714,643,0,824,629,0,745,2629,0,0,311,4760,3,2177,4,1822,1745,324,0,714,266,0,97460
Sample_A0_lowconc_rep1,0,0,0,0,0,554,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,0,0,0,0,0,0,426,0,0,0,239,0,0,0,0,0,0,29,0,0,0,30,0,0,0,0,57,0,0,0,0,152,0,0,0,0,0,0,355,0,0,0,0,0,0,0,0,0,0,2223
Sample_A0_lowconc_rep2,0,0,0,63,8,0,0,0,0,0,45,0,51,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,21,0,0,0,80,0,0,0,0,57,0,0,0,0,0,0,0,43,0,76,0,0,22,0,0,88,91,0,0,0,59,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,745
Sample_A100_highconc_rep1,0,517,882,1596,37,503,66,627,123,0,371,0,0,1,353,1562,0,6,0,183,398,121,0,3,830,403,636,278,383,1117,430,1932,0,0,440,1139,622,0,535,2070,676,0,2501,1,0,493,63,3001,1520,0,1036,6110,17,126,0,0,3554,1067,0,754,1014,3412,353,9,0,0,391,480,1112,415,58,755,888,0,491,570,746,96,600,225,244,0,303,1271,164,0,349,5583,0,397,0,654,1923,312,0,707,0,0,62605
Sample_A100_highconc_rep2,0,86,0,77,0,437,7,48,40,42,0,63,41,1,42,166,0,1,0,1,27,0,0,43,116,72,178,89,24,0,82,153,0,0,72,4,239,106,2,278,61,265,0,203,0,149,51,33,107,0,354,394,314,36,5,144,716,117,68,0,0,204,69,1,0,0,6,13,27,24,1,35,33,0,74,4,141,0,29,0,24,0,35,52,0,1,21,482,135,50,1,177,173,0,0,95,0,0,7461
Sample_A100_lowconc_rep1,0,0,0,254,0,0,0,99,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,28,0,0,0,0,0,0,0,407,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,113,0,0,0,0,0,94,0,0,0,0,0,0,0,0,185,0,10,0,200,0,0,0,0,0,0,0,0,0,0,1470
Sample_A100_lowconc_rep2,0,0,0,0,0,382,0,0,0,0,0,0,121,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,1680
Sample_A10_highconc_rep1,0,5110,6947,6531,777,6669,1,2104,590,1936,3081,546,904,252,1623,1195,0,22,2393,715,1,1698,55,1333,2027,3529,3787,1581,1345,3393,1315,3395,0,4207,2449,4055,3376,3008,1591,5414,3621,8903,6321,1,850,11,4832,2133,1173,0,9727,13291,4700,1556,484,4873,10713,4457,2571,1407,1373,6314,2912,39,0,0,252,2944,2780,970,99,5092,1870,27,1073,1,7437,682,1466,1562,1205,0,2548,5697,167,469,1930,6416,2,5282,59,3572,5476,1591,205,5350,1021,0,248462
Sample_A10_highconc_rep2,0,13432,12482,5846,531,5130,646,1279,456,1923,2635,440,1342,18,2055,757,0,45,2452,594,3,1372,27,1146,3028,2720,5428,1613,2209,3312,1304,4777,0,5451,2035,2978,5257,4160,1111,7231,2877,7342,4063,9507,1,10,5884,2456,2094,0,11249,10562,11330,1525,303,4549,13408,5796,3097,2818,2931,10228,2709,23,0,0,138,1288,2771,332,246,5862,1540,31,1343,747,5035,1837,2280,2214,1119,0,3012,6418,386,543,1465,7370,6,5505,39,3546,10536,1705,238,4686,648,0,294873
Sample_A10_lowconc_rep1,0,374,0,0,25,282,0,0,12,162,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,0,112,0,0,278,0,0,116,0,0,293,237,0,244,0,482,0,39,0,0,392,183,594,317,200,264,12,0,0,35,0,0,147,0,0,51,0,0,0,0,0,447,0,0,0,0,273,0,0,0,0,0,0,0,11,0,0,0,0,68,0,5982
Sample_A10_lowconc_rep2,0,0,0,270,0,131,0,0,0,74,214,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,114,0,0,0,0,48,280,0,0,0,0,110,0,0,0,0,402,96,0,27,149,608,0,125,0,0,152,0,0,0,0,10,0,150,0,0,0,0,0,0,9,0,0,87,0,0,0,163,0,0,0,0,0,67,114,0,26,310,0,0,0,0,0,3897
Sample_A1_highconc_rep1,0,1585,3004,4115,193,4369,281,896,110,615,1158,439,414,5,950,617,0,30,440,355,1,650,28,526,1160,1245,2742,882,1141,1422,708,1839,0,3091,1427,1963,3575,2253,253,3478,1108,2159,2485,2147,1,3,2630,1625,1171,0,3965,7392,3259,597,163,2323,7136,3727,1659,542,1225,5066,1470,19,0,0,188,1452,2639,457,184,2143,835,29,833,3,3352,499,669,1976,231,0,905,3010,77,144,726,5599,1,3134,16,2007,3732,377,53,828,320,0,136251
Sample_A1_highconc_rep2,0,5211,5300,5179,353,5752,1,1010,1,2595,1840,318,616,45,877,1405,0,25,1357,416,1584,561,21,287,623,1061,3045,360,1217,2907,696,3805,0,5769,1716,2836,2608,2256,1107,3775,1864,4781,3769,1,1,3,4334,1023,1454,0,7411,9361,4960,2017,337,2997,8287,4756,1518,1633,1327,6701,1643,13,0,0,127,1823,1976,617,35,1792,1173,22,829,327,3136,355,866,1327,504,0,1258,3740,198,100,754,5283,3,2329,16,3962,2381,0,61,6111,445,0,180276
Sample_A1_lowconc_rep1,0,0,0,0,0,487,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,276,0,0,0,558,0,0,0,0,0,153,0,0,0,8,0,249,0,0,0,0,0,0,0,0,0,2297
Sample_A1_lowconc_rep2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159
Sample_A20_highconc_rep1,0,613,2391,2606,104,2832,106,389,205,432,947,178,644,3,1047,651,0,7,537,322,1263,515,24,286,375,1722,670,683,530,733,504,1465,0,2411,875,1475,1178,797,418,2804,1013,1875,1774,2193,74,804,1020,990,885,0,2580,3611,2263,319,171,1648,2564,1311,1096,651,675,1472,1024,33,0,0,126,767,1140,355,114,1103,875,11,481,285,3570,584,363,934,241,0,807,1677,94,24,287,2242,1,954,18,1289,1153,389,39,601,284,0,83596
Sample_A20_highconc_rep2,0,4934,6051,3223,311,6389,316,1932,179,1046,1168,382,1390,12,1516,325,0,41,1924,742,1,1473,59,1163,1773,1797,3075,1015,1844,971,1183,2003,0,4568,1182,2363,3611,3917,733,6689,1825,4463,2617,1053,426,6,5151,3788,1958,0,4777,9560,6674,812,371,5780,6255,6817,1990,2247,2012,5215,2235,38,0,0,202,2692,2579,1040,152,4661,2120,29,1924,465,4501,947,2120,2016,331,0,1156,7164,86,111,1660,7627,3,4038,9,3778,4894,744,66,5318,321,0,210125
Sample_A20_lowconc_rep1,0,0,702,178,14,226,0,0,0,0,0,0,0,0,19,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,227,0,0,0,0,0,0,0,461,0,0,0,0,0,234,0,0,0,0,210,234,0,0,0,0,0,0,0,0,0,0,0,31,0,101,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2989
Sample_A20_lowconc_rep2,0,0,360,0,0,214,0,0,19,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,502,0,0,282,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,2161
Sample_A50_highconc_rep1,0,5691,3967,2122,214,1796,226,512,180,760,996,275,463,50,813,762,0,19,986,363,1,288,14,363,1430,1609,1703,653,809,1444,751,1299,0,1481,830,1521,1294,1423,393,2512,1371,2123,1988,3033,549,12,2021,1228,1299,0,3848,3482,2931,808,192,2637,4116,3225,1173,875,916,3150,917,19,0,0,55,901,1024,265,80,1600,470,16,393,180,1893,308,658,772,355,0,892,2493,109,124,506,2932,2,1767,5,1724,2554,397,119,1000,112,0,105632
Sample_A50_highconc_rep2,0,9994,7865,8090,790,8266,745,2028,730,2387,2936,1625,1772,94,3232,3772,0,53,4031,1686,2,1701,115,1717,4605,2789,5388,2641,2426,3530,2361,3696,0,4089,3426,4955,4621,4784,1770,7485,3849,7333,5541,1,895,3,7286,3785,3282,0,8410,11456,6399,2413,551,6216,11516,5306,2952,3965,3132,9215,3683,59,0,0,502,5126,4359,1421,323,7476,3928,43,2481,1,7383,1304,3090,2146,936,0,3542,7799,814,468,1034,9845,11,8206,61,5445,5677,1427,200,2646,537,0,317676
Sample_A50_lowconc_rep1,0,746,1242,263,0,1584,104,0,236,0,633,0,223,0,144,0,0,0,0,338,0,999,0,73,0,144,0,137,299,433,0,94,0,0,0,0,0,0,48,0,0,380,860,0,1,1,333,220,653,0,488,871,454,196,0,2,15,296,0,0,2,293,0,6,0,0,27,628,125,237,75,2136,530,11,177,129,492,0,340,356,291,0,0,370,131,0,0,226,0,0,0,901,0,829,14,493,27,0,21356
Sample_A50_lowconc_rep2,0,0,508,0,2,1131,23,168,0,0,0,0,0,0,270,0,0,9,0,139,546,762,0,161,0,254,0,261,141,0,384,338,0,486,0,0,317,0,149,439,127,0,0,409,0,418,402,702,278,0,1162,1463,0,0,56,382,1362,383,1073,0,317,352,0,14,0,0,0,437,105,141,0,624,263,1,271,151,528,0,0,0,41,0,477,319,0,0,105,0,232,0,1,180,132,201,42,0,51,0,19690
Sample_A5_highconc_rep1,0,1586,3844,2255,277,4707,132,825,310,1258,1629,439,602,4,1,1849,0,19,398,130,1,198,31,163,251,1768,920,793,1305,2331,1218,1187,0,3051,873,2040,2522,1359,525,4707,1878,3912,2744,1959,342,2,2104,925,1222,0,4856,7896,3981,891,215,3395,5852,1479,1371,2148,976,1997,962,23,0,0,43,1401,1562,370,72,1666,923,10,981,194,3466,797,676,1471,855,0,1065,2449,208,37,671,2062,1783,838,17,2555,3294,1035,105,1517,544,0,129305
Sample_A5_highconc_rep2,0,1455,3414,1900,398,5935,109,734,400,1310,754,300,1500,7,1642,1212,0,30,1215,450,2239,736,95,346,647,1476,1319,789,1168,1159,779,1875,0,5887,483,2632,4068,1920,807,3363,839,3370,2324,2339,391,2,1943,2707,1589,0,5347,8952,3181,1470,366,3859,6335,1911,1198,1107,158,3538,1583,50,0,0,255,852,1976,387,52,2629,1278,6,1242,274,4990,162,311,1016,302,0,1244,2874,152,126,996,4613,1035,2527,23,2659,2858,1172,52,3708,433,0,149316
Sample_A5_lowconc_rep1,0,0,509,0,123,285,0,0,120,0,0,0,0,0,94,0,0,0,0,0,0,0,0,38,0,0,488,487,288,0,0,0,0,0,390,0,0,0,0,0,0,570,0,0,0,0,0,0,0,0,0,623,1180,0,0,0,1123,43,0,465,0,0,0,0,0,0,65,0,562,86,0,535,555,0,429,0,0,0,0,0,0,0,203,965,0,0,277,489,572,0,0,505,0,0,0,0,83,0,12152
Sample_A5_lowconc_rep2,0,0,0,199,0,112,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,44,0,0,2,0,0,0,0,0,0,0,0,127,195,0,0,0,0,135,130,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,18,185,0,0,103,0,0,57,0,0,0,0,0,0,0,0,34,457,0,4,0,44,0,1926
Sample_A80_highconc_rep1,0,2520,0,3489,0,4919,0,1268,0,634,0,168,0,11,0,788,0,24,0,480,0,313,0,557,0,1833,0,534,0,1645,0,1828,0,1,0,1672,0,1643,0,4378,0,2886,0,1861,0,1011,0,2408,0,0,0,5267,0,662,0,4979,0,1940,0,1412,0,3934,0,31,0,0,0,1541,0,415,0,1453,0,21,0,411,0,358,0,771,1,0,1,2760,0,72,0,3851,0,2102,0,2129,0,573,0,1582,0,0,73135
Sample_A80_highconc_rep2,0,1742,5731,2013,256,4472,145,1589,130,483,471,84,729,200,1096,313,0,41,192,626,1,725,54,570,1059,1072,1686,826,546,1439,987,1859,0,583,606,1753,1226,546,921,2182,795,605,1794,2658,1,1,1402,236,3129,0,3543,5783,1052,296,448,2231,4184,701,1086,1205,779,1347,1547,50,0,0,384,1493,1187,936,289,1246,1948,3,989,151,2905,0,727,949,323,0,890,2468,42,38,433,4777,1,1785,23,2185,3728,203,25,1053,116,0,105124
Sample_A80_lowconc_rep1,0,0,0,0,0,719,0,0,0,0,5,0,0,0,25,0,0,0,0,75,554,0,0,120,0,0,0,0,78,369,0,40,0,0,168,0,0,0,0,0,0,0,0,0,0,0,678,0,277,0,396,752,0,102,0,0,323,0,238,0,0,189,0,4,0,0,13,0,434,0,0,0,50,8,0,112,0,0,0,0,0,0,116,0,0,0,0,813,293,0,0,0,0,0,0,0,0,0,6951
Sample_A80_lowconc_rep2,0,769,0,0,0,377,3,0,0,0,83,0,109,0,97,50,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,285,0,0,0,271,414,0,0,0,358,0,239,145,0,0,637,49,0,78,0,1622,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,95,0,0,0,0,0,0,0,0,0,0,206,0,0,0,291,0,0,0,252,0,0,0,500,0,0,7381
Sample_A90_highconc_rep1,0,4123,4876,3320,326,6976,244,1909,410,317,545,342,966,242,1,1540,0,38,1146,815,1,848,66,865,2186,2103,3358,969,1024,2309,1561,2455,0,654,659,1207,1565,3009,1165,5178,1299,3987,3537,1,2,3,3935,914,1502,0,2909,6361,2687,269,70,2314,8173,2199,741,1031,1288,3102,772,33,0,0,345,3192,2167,859,101,1896,2031,16,1063,1,2750,197,1276,1436,583,0,857,5027,246,162,11,6542,1,2724,12,1962,3014,420,126,903,265,0,146632
Sample_A90_highconc_rep2,0,1482,3128,2684,174,2451,91,660,155,243,697,189,482,1,635,1111,0,31,336,367,1384,92,45,92,742,1009,1835,826,210,1859,816,1814,0,957,689,653,1038,904,594,3080,1006,1749,1801,721,53,1,1141,818,1584,0,2074,2689,1002,334,79,1783,3668,1264,386,1022,990,1712,507,56,0,0,367,1072,984,430,49,924,891,20,664,90,3459,123,213,640,306,0,358,2062,117,43,138,3919,494,1839,12,1892,1534,386,11,395,6,0,83434
Sample_A90_lowconc_rep1,0,327,403,0,0,346,0,0,13,0,0,0,0,0,37,0,0,37,0,0,0,0,0,0,0,96,0,0,0,0,0,391,0,0,0,224,420,0,0,0,0,0,0,0,77,0,346,2,0,0,330,666,0,0,0,272,525,127,0,0,0,0,0,0,0,0,0,0,0,0,2,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,843,0,0,0,149,0,169,0,0,0,0,5931
Sample_A90_lowconc_rep2,0,0,0,270,16,287,76,0,80,0,0,0,0,0,18,0,0,2,0,0,0,0,0,0,320,0,253,0,0,92,54,352,0,0,74,221,0,174,0,0,0,318,0,0,0,365,0,0,373,0,695,753,0,0,0,0,1119,378,241,0,0,0,0,0,0,0,26,0,181,49,0,0,32,0,0,71,463,0,0,0,8,0,111,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,7625
Sample_A95_highconc_rep1,0,2351,7032,2213,488,5421,432,1508,336,594,947,542,1405,3,1186,994,0,21,1437,704,2252,1146,49,429,1312,1026,2304,988,2212,1449,1221,2424,0,548,458,852,2751,657,492,2845,914,2732,3499,2886,199,4,2300,1316,2544,0,3187,10682,3217,807,454,2611,5847,2937,1496,1082,1050,3706,1676,15,0,0,266,1943,1798,392,113,1747,914,29,675,2,5250,0,1010,2844,696,0,1070,3673,518,121,702,5233,1,3058,18,3742,3076,269,23,1608,335,0,149316
Sample_A95_highconc_rep2,0,66,558,231,21,402,4,67,26,42,103,20,36,1,110,61,0,62,60,61,136,60,0,50,74,97,124,128,83,102,38,300,0,53,77,203,225,112,49,298,66,188,290,273,14,111,108,131,65,0,235,535,133,38,10,300,574,172,123,78,133,140,59,3,0,0,30,185,147,36,14,174,90,2,46,42,260,18,38,35,28,0,52,255,29,7,19,516,98,252,0,183,275,17,8,144,9,0,10928
Sample_A95_lowconc_rep1,0,230,236,0,0,93,0,0,0,0,0,0,0,0,20,0,0,0,157,50,0,0,0,0,0,60,0,94,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,213,396,115,86,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,4,0,0,38,0,0,24,0,2270
Sample_A95_lowconc_rep2,0,335,262,0,0,137,0,0,0,0,0,0,0,0,18,217,0,0,0,0,218,0,0,0,46,93,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,315,242,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,4,0,0,8,0,0,23,0,114,34,0,0,0,0,0,0,0,0,0,40,0,0,0,0,149,0,0,0,0,0,0,6,0,0,0,2815
